show_id,type,title,director,cast,country,year_added,release_year,rating,duration,category
70245168,"TV Show","Nature's Great Events (2009)",,"David Attenborough","United States, United Kingdom",2015,2009,TV-PG,"1 Season","British TV Shows, Docuseries, Science & Nature TV"
70235731,"TV Show","The Blue Planet: A Natural History of the Oceans","Alastair Fothergill","David Attenborough","United Kingdom",2015,2001,TV-G,"1 Season","British TV Shows, Docuseries, International TV Shows"
80003481,Movie,"Chelsea Handler: Uganda Be Kidding Me Live","James Yukich","Chelsea Handler","United States",2014,2014,TV-MA,"71 min","Stand-Up Comedy"
81168338,Movie,"300 Miles to Heaven","Maciej Dejczer","Krzysztof Stroiński, Andrzej Mellin, Adrianna Biedrzyńska, Adrianna Biedrzyńska, Rafał Zimowski, Kama Kowalewska, Wiesław Komasa, Aleksander Bednarz, Jadwiga Jankowska-Cieslak, Wojciech Klata","Denmark, France, Poland",2019,1989,TV-14,"93 min","Dramas, International Movies"
81103033,Movie,A.M.I.,"Rusty Nixon","Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius",Canada,2019,2019,TV-MA,"77 min","Horror Movies"
60002273,Movie,"Along Came a Spider","Lee Tamahori","Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Anton Yelchin, Kim Hawthorne, Jay O. Sanders, Billy Burke, Michael Moriarty, Penelope Ann Miller","United States, Germany, Canada",2019,2001,R,"103 min",Thrillers
70297962,Movie,"Alpha and Omega 2: A Howl-iday Adventure","Richard Rich","Ben Diskin, Kate Higgins, Blackie Rose, Lindsay Torrance, Liza West, Tracy Pfau, Bill Lader, Meryl Leigh, Shaun Gerardo","United States",2019,2013,TV-G,"45 min","Children & Family Movies"
269880,Movie,"Bad Boys","Michael Bay","Will Smith, Martin Lawrence, Téa Leoni, Tchéky Karyo, Theresa Randle, Joe Pantoliano, Emmanuel Xuereb, Michael Imperioli, Nestor Serrano, Julio Oscar Mechoso","United States",2019,1995,R,"119 min","Action & Adventure, Comedies"
60029167,Movie,"Bad Boys II","Michael Bay","Will Smith, Martin Lawrence, Jordi Mollà, Gabrielle Union, Peter Stormare, Theresa Randle, Joe Pantoliano, Michael Shannon, Jon Seda, Yul Vazquez","United States",2019,2003,R,"147 min","Action & Adventure, Comedies"
60020891,Movie,Blow,"Ted Demme","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Paul Reubens, Jordi Mollà, Cliff Curtis, Miguel Sandoval, Ethan Suplee, Ray Liotta","United States",2019,2001,R,"123 min",Dramas
347365,Movie,Candyman,"Bernard Rose","Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis","United States, United Kingdom",2019,1992,R,"99 min","Cult Movies, Horror Movies"
